station,usage,total_bikes,poi_name,poi_distance,poi_address
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Square Lamartine,94,"3 Square Lamartine, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Axxia,185,"116 rue de la Faisanderie, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Bs Design,548,"16 rue Spontini, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Efront,586,"2/4 rue Louis David, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Clinique de la Muette (Clinique de la Muette - Ramsay Santé),640,"46-48 rue Nicolo, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Golden Spoon,716,"129 rue Lauriston, 75016 Paris 16eme Arrondissement"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Pavillon Passy Events Location de Salle,727,"6 rue Faustin Hélie, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,LOWELL Detective Prive Paris,737,"15 rue Pétrarque, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Place du Trocadéro,906,"19 place du Trocadéro et du Onze Novembre, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Aéro,940,"3 place de Passy, 75016 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Le Ciel & la Terre,35,"72 rue Saint-André des Arts, 75006 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Le Dandy,131,"62 rue Mazarine, 75006 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Place de l'Odéon,299,"place de l'Odéon 1, 75006 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,La Cave Saint-Germain,309,"17 rue des Canettes, 75006 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Statue de Diderot,347,"145 boulevard Saint-Germain, 75006 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Statue équestre d'Henri IV (Statue Équestre d'Henri IV),389,"15 place du Pont Neuf, 75001 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Place Dauphine,399,"1 place Dauphine, 75001 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Latin Quarter (Quartier Latin),400,75005 Paris
André Mazet - Saint-André des Arts,0.6851851851851852,54,Le Départ,409,"1 place Saint-Michel (29 quai Saint-Michel), 75005 Paris"
André Mazet - Saint-André des Arts,0.6851851851851852,54,Le Pousse au Crime,409,"15 rue Guisarde, 75006 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,Starbucks Place de la République (Place de la République),84,"2 place de la République, 75011 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,La Pharmacie de la Place République,163,"5 place de la République, 75003 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,McDonald's,186,"19 place de la Rèpublique, 75003 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,Square Frédérick Lemaître,219,"150 quai de Jemmapes, 75010 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,Limousine Events,236,"8 boulevard de Magenta, 75010 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,McDonald's,238,"29 rue du Faubourg du Temple, 75010 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,Hibao Resto,357,"28 rue de Malte, 75011 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,Bobo Snack,370,"27 rue Meslay, 75003 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,Chefdeville,397,"3 rue Paul Dubois, 75003 Paris"
Faubourg Du Temple - Republique,0.8421052631578947,38,Le 17,402,"17 boulevard de Magenta (Rue de Lancry), 75010 Paris"
Beaux-Arts - Bonaparte,0.75,20,Électricité de France,50,"10 rue Bonaparte, 75006 Paris"
Beaux-Arts - Bonaparte,0.75,20,De la Marque Edouard,237,"2 rue des Saints-Pères, 75007 Paris"
Beaux-Arts - Bonaparte,0.75,20,Le Montana,295,"28 rue Saint-Benoît, 75006 Paris"
Beaux-Arts - Bonaparte,0.75,20,Le Dandy,299,"62 rue Mazarine, 75006 Paris"
Beaux-Arts - Bonaparte,0.75,20,Pont des Arts,310,"Pont des Arts, 75006 Paris"
Beaux-Arts - Bonaparte,0.75,20,Statue de Diderot,336,"145 boulevard Saint-Germain, 75006 Paris"
Beaux-Arts - Bonaparte,0.75,20,Place du Québec,347,"place du Québec, 75006 Paris"
Beaux-Arts - Bonaparte,0.75,20,Square du Vert-Galant,402,"15 place du Pont Neuf, 75001 Paris"
Beaux-Arts - Bonaparte,0.75,20,Le Ciel & la Terre,410,"72 rue Saint-André des Arts, 75006 Paris"
