station,usage,total_bikes,poi_name,poi_distance,poi_address
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Square Lamartine,94,"3 Square Lamartine, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Axxia,185,"116 rue de la Faisanderie, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Place du Trocadéro,906,"19 place du Trocadéro et du Onze Novembre, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Bs Design,548,"16 rue Spontini, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Jardin du Ranelagh,968,"avenue du Ranelagh, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Efront,586,"2/4 rue Louis David, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Clinique de la Muette (Clinique de la Muette - Ramsay Santé),640,"46-48 rue Nicolo, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Golden Spoon,716,"129 rue Lauriston, 75016 Paris 16eme Arrondissement"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,Pavillon Passy Events Location de Salle,727,"6 rue Faustin Hélie, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9428571428571428,35,LOWELL Detective Prive Paris,737,"15 rue Pétrarque, 75016 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Café de Buci,59,"52 rue Dauphine, 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Prescription Cocktail Club,161,"23 rue Mazarine, 6e, 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Pub Saint Germain,101,"17 rue de l'Ancienne Comédie, 17, 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Place de l'Odéon,299,"place de l'Odéon 1, 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Castor Club,315,"14 rue Hautefeuille, 6e, 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Le Ciel & la Terre,35,"72 rue Saint-André des Arts, 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Bar III,54,"3 rue de l'Ancienne Comédie, 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Le Galway,328,"13 quai des Grands Augustins (Place Saint-Michel), 75006 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Place Dauphine,399,"1 place Dauphine, 75001 Paris"
André Mazet - Saint-André des Arts,0.1886792452830188,53,Square du Vert-Galant,412,"15 place du Pont Neuf, 75001 Paris"
Faubourg Du Temple - Republique,0.8611111111111112,36,Starbucks Place de la République (Place de la République),84,"2 place de la République, 75011 Paris"
Faubourg Du Temple - Republique,0.8611111111111112,36,Mon Coco,135,"6 place de la République, 75011 Paris"
Faubourg Du Temple - Republique,0.8611111111111112,36,La Pharmacie de la Place République,163,"5 place de la République, 75003 Paris"
Faubourg Du Temple - Republique,0.8611111111111112,36,République,147,"23 place de la République, 75003 Paris"
Faubourg Du Temple - Republique,0.8611111111111112,36,McDonald's,186,"19 place de la Rèpublique, 75003 Paris"
