station,usage,total_bikes,poi_name,poi_distance,poi_address
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Square Lamartine,94.0,"3 Square Lamartine, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Boulangerie Schou,122.0,"96 rue de la Faisanderie (Rue Dufrénoy), 75016 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Zinc du 16,246.0,"58 rue de la Faisanderie, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Laboratoire Cohen Mme Vincent M.C,52.0,"187 avenue Victor Hugo, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Tabac Lamartine,52.0,"178 avenue Victor Hugo, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Clinique Nescens Paris Spontini,81.0,"68 bis rue Spontini, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Clinique Spontini,88.0,"2 rue Mony 68 B rue Spontini, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Jennifer Fridman,95.0,"115 rue de la Pompe, 75116 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Béchu,487.0,"118 avenue Victor Hugo, 75016 Paris"
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Axxia,185.0,"116 rue de la Faisanderie, 75116 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Maison Sauvage,80.0,"5 rue de Buci, 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Café de Buci,59.0,"52 rue Dauphine, 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Malongo Café,117.0,"50 rue Saint Andr\u00e9 des Arts, 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Eric Kayser,64.0,"10 rue de l'Ancienne Comedie Od\u00E9on, 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Le Nesle,149.0,"22 rue Dauphine, 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Gérard Mulot,262.0,"76 rue de Seine, 6e, 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Place de l'Odéon,299.0,"place de l'Odéon 1, 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Le Relais Odéon,146.0,"132 boulevard Saint Germain (Rue Mazarine), 75006 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Place Dauphine,399.0,"1 place Dauphine, 75001 Paris"
André Mazet - Saint-André des Arts,0.3018867924528302,53,Square du Vert-Galant,412.0,"15 place du Pont Neuf, 75001 Paris"
Faubourg Du Temple - Republique,0.5,38,Starbucks Place de la République (Place de la République),84.0,"2 place de la République, 75011 Paris"
Faubourg Du Temple - Republique,0.5,38,Aux Péchés Normands,55.0,"9 rue du Faubourg du Temple 75010, 75010 Paris"
Faubourg Du Temple - Republique,0.5,38,Mon Coco,135.0,"6 place de la République, 75011 Paris"
