empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.banking,extra.ebikes,extra.last_updated,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.station_id,extra.uid,extra.payment
33,2,78ec9186acd18a0b30bd3156d24b9f8d,48.865983,2.275725,Benjamin Godard - Victor Hugo,2023-12-21T06:28:11.947000Z,False,2,1703138821,False,1,1,35,213688169,16107,
37,17,43c856353b954711f2bbee185a1f9d04,48.85375581057431,2.3390958085656166,André Mazet - Saint-André des Arts,2023-12-21T06:28:11.858000Z,True,1,1703138531,True,1,1,55,99950133,6015,['creditcard']
30,7,9b2700f3b19beb1dd9df2fd6a013789f,48.867872484749,2.3648982158072,Faubourg Du Temple - Republique,2023-12-21T06:28:08.988000Z,True,1,1703138718,True,1,1,38,312165511,11037,['creditcard']
16,4,80778031e1a033712bfc3a27a190d5dd,48.856451985395786,2.334851883351803,Beaux-Arts - Bonaparte,2023-12-21T06:28:07.017000Z,True,1,1703138484,True,1,1,20,210405211,6021,['creditcard']
21,0,f8f9ec30d28856f9b7fad103be9e4674,48.87929591733507,2.3373600840568547,Toudouze - Clauzel,2023-12-21T06:28:07.640000Z,True,0,1703138334,True,1,1,21,36255,9020,['creditcard']
13,6,59f355492ad3a784fdba53e67467b207,48.855907555969,2.3925706744194,Charonne - Robert et Sonia Delaunay,2023-12-21T06:28:11.465000Z,False,4,1703138650,False,1,1,20,516709288,11104,
2,27,6e0dbb5b877eec618e2b40acdfcc6bb8,48.840855311763,2.3875549435616,Mairie du 12ème,2023-12-21T06:28:01.876000Z,False,12,1703138791,False,1,1,30,37815204,12109,
51,8,268880c2481e7aa03975a7f4ee985945,48.851296433665276,2.325061820447445,Square Boucicaut,2023-12-21T06:28:11.805000Z,True,4,1703138354,True,1,1,60,210566542,7003,['creditcard']
28,13,11d2a821689732b32a0b4178425a3189,48.851518815017,2.3436703160405,Harpe - Saint-Germain,2023-12-21T06:28:11.924000Z,True,1,1703138613,True,1,1,45,100769544,5001,['creditcard']
25,13,9468274d3c6d8dd8c367c4b8650c869e,48.881973298352,2.301132157445,Jouffroy d'Abbans - Wagram,2023-12-21T06:28:11.481000Z,True,5,1703138471,True,1,1,40,54000559,17026,['creditcard']
24,10,c9edcdf32809c955e2ab833381c149a2,48.88287775178599,2.287667370814871,Guersant - Gouvion-Saint-Cyr,2023-12-21T06:28:05.793000Z,True,7,1703138303,True,1,1,36,85043758,17041,['creditcard']
40,20,45c2573f9bb3d58a288af4247ff3f406,48.871044051984,2.3661044619878,Alibert - Jemmapes,2023-12-21T06:28:04.676000Z,True,2,1703138689,True,1,1,60,123095125,10013,['creditcard']
17,5,7d145bbd89111d7193b951dfc6c02487,48.874422773426545,2.3284685611724854,Caumartin - Provence,2023-12-21T06:28:05.788000Z,True,3,1703138632,True,1,1,22,129026597,9104,['creditcard']
21,4,ff7997b9155b49ebda0f3e7ea20e4d89,48.837525839067,2.3360354080796,Cassini - Denfert-Rochereau,2023-12-21T06:28:09Z,True,2,1703138585,True,1,1,25,251039991,14111,['creditcard']
17,2,f0ced785f9435ff9284445a1897856e1,48.85165383178419,2.3308077827095985,Saint-Sulpice,2023-12-21T06:28:06.652000Z,True,1,1703138697,True,1,1,21,37874517,6003,['creditcard']
7,11,d1d88931b3ec2bdadebae98bce0a775d,48.853147816545,2.3263905197382,Raspail - Varenne,2023-12-21T06:28:00.900000Z,False,2,1703138705,False,1,1,18,210567545,7004,
15,7,8ab5dcca384aad21e3b083a30d6ae263,48.84389286531899,2.3519663885235786,Lacépède - Monge,2023-12-21T06:28:10.900000Z,True,3,1703138449,True,1,1,23,210403080,5110,['creditcard']
15,2,7d6ba3781c835c4a552b373689b71188,48.84708159081946,2.321374788880348,Saint-Romain - Cherche-Midi,2023-12-21T06:28:06.332000Z,False,0,1703138676,False,1,1,17,210561800,6108,
9,21,0e3c0f14de288ac43c5a8b0a1cbc33b9,48.91039875761846,2.3851355910301213,André Karman - République,2023-12-21T06:28:07.821000Z,False,17,1703138728,False,1,1,31,209063434,33006,
15,12,036b6154355561cef963080cc32a2dbd,48.81580226360801,2.376804985105991,Pierre et Marie Curie - Maurice Thorez,2023-12-21T06:28:07.744000Z,False,10,1703138819,False,1,1,27,94555589,42016,
41,8,d16fc1f39f76274493aa77c45f2b36e5,48.836022242886884,2.4708339950830287,Bois de Vincennes - Gare,2023-12-21T06:28:00.923000Z,True,5,1703138688,True,1,1,50,244498842,41301,['creditcard']
3,22,b5e0ce34d56d5a00d64947b6045b9fdc,48.835583838706,2.2325500845909,Silly - Galliéni,2023-12-21T06:28:11.418000Z,True,3,1703138684,True,1,1,25,43195240,21010,['creditcard']
35,12,6a847ac4b705e2863bba9460a0b320fe,48.835092787824,2.3534681351338,Le Brun - Gobelins,2023-12-21T06:28:10.028000Z,True,1,1703138397,True,1,1,48,66491398,13007,['creditcard']
21,4,ac090301d156f8658f2421b14e637615,48.879089,2.354235,Gare du Nord - Place de Valenciennes,2023-12-21T06:28:08.644000Z,True,0,1703138459,True,1,1,25,653062048,10152,['creditcard']
52,6,a497dc1ed4a61b01828f0f64ba00aec4,48.876116,2.288124,Grande Armée - Brunel,2023-12-21T06:28:11.781000Z,True,5,1703138801,True,1,1,62,207633746,17038,['creditcard']
10,9,a1608bb58dff0b09b90fc7a0f4955d83,48.794902381218904,2.3734183609485626,Génie - Mozart,2023-12-21T06:28:11.280000Z,False,8,1703138615,False,1,1,19,1333959209,44012,
