name,latitude,longitude,free_bikes,empty_slots,total_bikes,usage_percentage
Benjamin Godard - Victor Hugo,48.865983,2.275725,3,32,35,0.9142857142857143
André Mazet - Saint-André des Arts,48.85375581057431,2.3390958085656166,37,16,53,0.3018867924528302
Faubourg Du Temple - Republique,48.867872484749,2.3648982158072,19,19,38,0.5
Beaux-Arts - Bonaparte,48.856451985395786,2.334851883351803,17,2,19,0.10526315789473684
Toudouze - Clauzel,48.87929591733507,2.3373600840568547,4,16,20,0.8
Charonne - Robert et Sonia Delaunay,48.855907555969,2.3925706744194,8,12,20,0.6
Mairie du 12ème,48.840855311763,2.3875549435616,24,5,29,0.1724137931034483
Square Boucicaut,48.851296433665276,2.325061820447445,6,51,57,0.8947368421052632
Harpe - Saint-Germain,48.851518815017,2.3436703160405,37,6,43,0.13953488372093023
Jouffroy d'Abbans - Wagram,48.881973298352,2.301132157445,7,31,38,0.8157894736842105
Guersant - Gouvion-Saint-Cyr,48.88287775178599,2.287667370814871,15,19,34,0.5588235294117647
Alibert - Jemmapes,48.871044051984,2.3661044619878,21,38,59,0.6440677966101694
Caumartin - Provence,48.874422773426545,2.3284685611724854,8,19,27,0.7037037037037037
Cassini - Denfert-Rochereau,48.837525839067,2.3360354080796,6,19,25,0.76
Saint-Sulpice,48.85165383178419,2.3308077827095985,11,8,19,0.42105263157894735
Raspail - Varenne,48.853147816545,2.3263905197382,6,12,18,0.6666666666666666
Lacépède - Monge,48.84389286531899,2.3519663885235786,7,15,22,0.6818181818181818
Saint-Romain - Cherche-Midi,48.84708159081946,2.321374788880348,8,8,16,0.5
André Karman - République,48.91039875761846,2.3851355910301213,27,4,31,0.12903225806451613
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,8,19,27,0.7037037037037037
Bois de Vincennes - Gare,48.836022242886884,2.4708339950830287,6,43,49,0.8775510204081632
Silly - Galliéni,48.835583838706,2.2325500845909,5,20,25,0.8
Le Brun - Gobelins,48.835092787824,2.3534681351338,32,16,48,0.3333333333333333
Gare du Nord - Place de Valenciennes,48.879089,2.354235,6,18,24,0.75
Grande Armée - Brunel,48.876116,2.288124,3,58,61,0.9508196721311475
Génie - Mozart,48.794902381218904,2.3734183609485626,3,15,18,0.8333333333333334
Thouin - Cardinal Lemoine,48.84504716661511,2.3494647851273465,2,15,17,0.8823529411764706
Froment - Bréguet,48.8570414504784,2.37289470306807,19,18,37,0.4864864864864865
Notre-Dame-des-Champs - Stanislas,48.84479928858768,2.329337755887181,6,13,19,0.6842105263157895
Morillons - Dantzig,48.83310149953933,2.299380004405976,14,38,52,0.7307692307692307
Grenelle - Dr Finlay,48.851315406715976,2.2919502854347233,13,57,70,0.8142857142857143
Chazelles - Courcelles ,48.879406604954,2.3034455627202988,6,27,33,0.8181818181818182
Croulebarde - Corvisart,48.830981659316855,2.3481646925210953,14,19,33,0.5757575757575758
Ramponeau - Belleville,48.871031137596,2.379056852114,3,39,42,0.9285714285714286
Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,13,8,21,0.38095238095238093
Romainville - Vaillant-Couturier,48.86785,2.446748,21,16,37,0.43243243243243246
Général Martial Valin - Pont du Garigliano,48.83823094269141,2.270506024360657,2,14,16,0.875
Liberté - Vert-de-Maisons,48.790147809608,2.4328628182411,17,2,19,0.10526315789473684
Porte de Saint-Ouen - Bessières,48.89792240854517,2.32851451022192,22,7,29,0.2413793103448276
Bir Hakeim,48.853844054333514,2.289705348222022,3,29,32,0.90625
Jules Guesde - Pont du Port à l'Anglais,48.79628807093802,2.417212128639221,16,14,30,0.4666666666666667
Cambrai - Benjamin Constant,48.89594736851349,2.381133802246315,8,34,42,0.8095238095238095
De Toqueville - Terrasse,48.882428,2.314002,8,22,30,0.7333333333333333
Michel-Ange - Parent de Rosan,48.840579923690115,2.2584119439125065,9,15,24,0.625
Lagny - Victor Basch,48.84884147189881,2.426325418925233,11,15,26,0.5769230769230769
Serrurier,48.8804934032465,2.39806417375803,1,17,18,0.9444444444444444
Théâtre des Amandiers - Palais des sports,48.892648526839,2.2136941552162,11,12,23,0.5217391304347826
Louis Lejeune - Barbès,48.81807418981508,2.3267009854316716,9,16,25,0.64
Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,7,19,26,0.7307692307692307
Rond-point du Dr Albert Schweitzer,48.78980918988166,2.3143940046429634,2,20,22,0.9090909090909091
Boétie - Ponthieu,48.871417284355,2.3076787590981,5,26,31,0.8387096774193549
Custine - Ramey,48.888735896947,2.3469526693225,19,20,39,0.5128205128205128
Pyrénées - Ménilmontant,48.8693268535238,2.395084574818611,3,22,25,0.88
Caire - Dussoubs,48.86785342111862,2.349364310503006,26,14,40,0.35
Tour d'Auvergne - Rodier,48.879161,2.343698,2,15,17,0.8823529411764706
Assemblée Nationale,48.861411014652,2.3201214185208,38,25,63,0.3968253968253968
Dunkerque - Alsace,48.879355,2.358379,10,9,19,0.47368421052631576
Liard - Amiral Mouchez,48.8214169,2.342167,10,4,14,0.2857142857142857
Gabriel Lamé,48.8351212784276,2.385534569621086,30,3,33,0.09090909090909091
Las Cases - Bourgogne,48.859091104741,2.3185685276985,11,10,21,0.47619047619047616
Félix Ziem - Armand Gauthier,48.88949630486821,2.333393658804396,13,12,25,0.48
Jonquière - Docteur Paul Brousse,48.894799816683985,2.318705212173216,15,25,40,0.625
Square Louis XVI,48.87320440102894,2.323658830743138,11,18,29,0.6206896551724138
Youri Gagarine - Karl Marx,48.78448485079149,2.35908430069685,6,15,21,0.7142857142857143
Octave Feuillet - Albéric Magnard,48.86106902949534,2.2730283066630363,2,18,20,0.9
Ney - Porte de Clignancourt,48.8978867,2.3458001,0,25,25,1.0
Gay Lussac - Saint-Jacques,48.844730256132095,2.341923944866407,1,22,23,0.9565217391304348
Place Jean-Spire-Lemaître,48.8468428626593,2.452062070369721,16,34,50,0.68
Place Georges Guillaumin,48.874750203956566,2.301771435325988,5,20,25,0.8
Bellefond - Poissonnière,48.87759897050706,2.348463758826256,14,2,16,0.125
Jean Oestreicher - Porte de Champerret,48.88655580065981,2.288640439510346,2,19,21,0.9047619047619048
Alexandre Parodi - Quai de Valmy,48.87935941942529,2.366596162319184,3,19,22,0.8636363636363636
Ségur - d'Estrées,48.851419978983,2.3097044974566,10,7,17,0.4117647058823529
Granges aux Belles,48.8761373390584,2.3680844979417,13,10,23,0.43478260869565216
Regnault - Patay,48.82435782216384,2.377065159380436,52,10,62,0.16129032258064516
Gare Saint-Lazare - Place de Budapest,48.877753,2.327339,10,33,43,0.7674418604651163
Edgar Quinet - Raspail,48.83940266673835,2.32971478253603,4,42,46,0.9130434782608695
Clignancourt - Ordener,48.891457726153774,2.348636478060487,6,29,35,0.8285714285714286
Dunkerque - Rocroy,48.880726,2.351464,10,14,24,0.5833333333333334
