station,usage,total_bikes,poi_name,poi_distance,poi_address
Benjamin Godard - Victor Hugo,0.9142857142857144,35,La Coïncidence,674.5838847008364,15 rue Mesnil
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Poincaré,796.3837457247423,22 avenue Raymond Poincaré
Benjamin Godard - Victor Hugo,0.9142857142857144,35,L'Astrance,1193.9057475548866,4 rue Beethoven
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Crêperie Framboise Passy-Trocadéro,1046.4233954289314,10 bd Delessert
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Sgabetti,581.1026607755947,15 rue Sablons
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Hiramatsu,867.9961201115074,52 rue de Longchamp
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Girafe,1013.5447681914775,1 place du Trocadéro
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Pergolèse,1071.6842920477702,40 rue Pergolèse
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Bon,646.7876338266634,25 rue de la Pompe
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Chalet,337.5556365086247,63 rue de la Pompe
Benjamin Godard - Victor Hugo,0.9142857142857144,35,La Petite Tour,936.6360133730419,11 rue de la Tour
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Petit Rétro,736.370205183028,5 Rue Mesnil
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Frog XVI,922.1309260194633,110 bis avenue Kléber
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Passy,1038.234160979605,2 rue de Passy
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Musée Marmottan Monet,962.9223223608343,2 rue Louis Boilly
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Carette,877.1558472221258,4 place du Trocadéro
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Le Paris 16,484.3555993400418,18 rue des Belles Feuilles
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Corso,979.1628237952631,79 avenue Kléber
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Schwartz's Deli,764.1580671681827,7 avenue d'Eylau
Benjamin Godard - Victor Hugo,0.9142857142857144,35,Café Lamartine,31.727779183528806,182 avenue Victor Hugo
André Mazet - Saint-André des Arts,0.3018867924528302,53,L'Avant Comptoir,194.1463062267755,3 carrefour de l'Odéon
André Mazet - Saint-André des Arts,0.3018867924528302,53,Chez Fernand,100.3874280354339,9 rue Christine
André Mazet - Saint-André des Arts,0.3018867924528302,53,Fish la Boissonnerie,158.6823376252677,69 rue de Seine
André Mazet - Saint-André des Arts,0.3018867924528302,53,Semilla,163.4605575684766,54 Rue Seine
André Mazet - Saint-André des Arts,0.3018867924528302,53,Le Comptoir,202.79122481654176,9 carrefour de l'Odeon
André Mazet - Saint-André des Arts,0.3018867924528302,53,Le Procope,83.96152451590636,13 rue de l'Ancienne Comédie
André Mazet - Saint-André des Arts,0.3018867924528302,53,Ippudo Saint-Germain,120.2981880891589,14 rue Grégoire de Tours
André Mazet - Saint-André des Arts,0.3018867924528302,53,Les Antiquaires,927.8432442582576,13 rue du Bac
André Mazet - Saint-André des Arts,0.3018867924528302,53,Guy Savoy,383.0371824956357,Monnaie de Paris
André Mazet - Saint-André des Arts,0.3018867924528302,53,Le Bistro du Périgord,623.6864304498889,71 rue Saint-Jacques
André Mazet - Saint-André des Arts,0.3018867924528302,53,Le Bistrot d'Henri,389.55343424060015,16 rue Princesse
André Mazet - Saint-André des Arts,0.3018867924528302,53,Huitrerie Régis,251.40326209689684,3 rue de Montfaucon
André Mazet - Saint-André des Arts,0.3018867924528302,53,Le Christine,108.25419914334759,1 rue Christine
André Mazet - Saint-André des Arts,0.3018867924528302,53,L'Epigramme,178.44848316881843,9 rue de l'Eperon
André Mazet - Saint-André des Arts,0.3018867924528302,53,Huguette,160.37814712741118,81 rue de Seine
André Mazet - Saint-André des Arts,0.3018867924528302,53,Ze Kitchen Galerie,208.58640369202567,4 rue des Grands Augustins
André Mazet - Saint-André des Arts,0.3018867924528302,53,Fajitas,215.5131992514751,15 rue Dauphine
